Timestamp(ms),Current(uA)
16086.87,13096.669
16086.88,12909.741
16086.89,12629.594
16086.9,12442.991
16086.91,12256.519
16086.92,12209.921
16086.93,12023.610
16086.94,11744.390
16086.95,11697.881
16086.96,11511.928
16086.97,11465.460
16086.98,11372.549
16086.99,11233.243
16087,11186.823
16087.01,10908.479
16087.02,14033.256
16087.03,15727.300
16087.04,15538.553
16087.05,15208.559
16087.06,15020.169
16087.07,14596.768
16087.08,14267.910
16087.09,13845.678
16087.1,13798.804
16087.11,13377.304
16087.12,13283.727
16087.13,13003.188
16087.14,12582.931
16087.15,12629.594
16087.16,12489.630
16087.17,12070.176
16087.18,12209.921
16087.19,11977.054
16087.2,11697.881
16087.21,11511.928
16087.22,11279.670
16087.23,11233.243
16087.24,11186.823
16087.25,10954.850
16087.26,10769.417
16087.27,12349.738
16087.28,15585.728
16087.29,15444.229
16087.3,15255.676
16087.31,15020.169
16087.32,14737.828
16087.33,14314.865
16087.34,14080.170
16087.35,13751.938
16087.36,13564.556
16087.37,13424.104
16087.38,13283.727
16087.39,12769.631
16087.4,15585.728
16087.41,16815.117
16087.42,16578.270
16087.43,16247.024
16087.44,15774.507
16087.45,15397.078
16087.46,15067.254
16087.47,14643.779
16087.48,14314.865
16087.49,14174.023
16087.5,13845.678
16087.51,13705.080
16087.52,13377.304
16087.53,13143.421
16087.54,12909.741
16087.55,12676.265
16087.56,12489.630
16087.57,12442.991
16087.58,12209.921
16087.59,11930.504
16087.6,11837.431
16087.61,11651.381
16087.62,11604.888
16087.63,11511.928
16087.64,11465.460
16087.65,11233.243
16087.66,14502.768
16087.67,15868.945
16087.68,15680.101
16087.69,15444.229
16087.7,14973.092
16087.71,14737.828
16087.72,14314.865
16087.73,14033.256
16087.74,13892.561
16087.75,13658.230
16087.76,13377.304
16087.77,13236.949
16087.78,12863.029
16087.79,12489.630
16087.8,12442.991
16087.81,12349.738
16087.82,12116.749
16087.83,12070.176
16087.84,11651.381
16087.85,11558.404
16087.86,11511.928
16087.87,11465.460
16087.88,11233.243
16087.89,10954.850
16087.9,10954.850
16087.91,10815.763
16087.92,14033.256
16087.93,15916.177
16087.94,15632.910
16087.95,15161.449
16087.96,15020.169
16087.97,14737.828
16087.98,14314.865
16087.99,14127.093
16088,13798.804
16088.01,13564.556
16088.02,13330.511
16088.03,13049.925
16088.04,13049.925
16088.05,16483.588
16088.06,16672.984
16088.07,16483.588
16088.08,16199.736
16088.09,15632.910
16088.1,15444.229
16088.11,14926.022
16088.12,14643.779
16088.13,14267.910
16088.14,13939.450
16088.15,13705.080
16088.16,13611.390
16088.17,13190.181
16088.18,13003.188
16088.19,12769.631
16088.2,12676.265
16088.21,12442.991
16088.22,12303.125
16088.23,11930.504
16088.24,12070.176
16088.25,11790.906
16088.26,11697.881
16088.27,11651.381
16088.28,11465.460
16088.29,15727.300
16088.3,16010.664
16088.31,15680.101
16088.32,15491.387
16088.33,14878.962
16088.34,14596.768
16088.35,14220.963
16088.36,14033.256
16088.37,13658.230
16088.38,13470.913
16088.39,13096.669
16088.4,13003.188
16088.41,12863.029
16088.42,12629.594
16088.43,12442.991
16088.44,12256.519
16088.45,12256.519
16088.46,12023.610
16088.47,11837.431
16088.48,11651.381
16088.49,11651.381
16088.5,11279.670
16088.51,11279.670
16088.52,11140.413
16088.53,11233.243
16088.54,15491.387
16088.55,15680.101
16088.56,15349.936
16088.57,15020.169
16088.58,14737.828
16088.59,14549.764
16088.6,14127.093
16088.61,13751.938
16088.62,13658.230
16088.63,13283.727
16088.64,13377.304
16088.65,13049.925
16088.66,12909.741
16088.67,12676.265
16088.68,12489.630
16088.69,12209.921
16088.7,12070.176
16088.71,12023.610
16088.72,11837.431
16088.73,11697.881
16088.74,11465.460
16088.75,11465.460
16088.76,14408.800
16088.77,15916.177
16088.78,15821.723
16088.79,15444.229
16088.8,15161.449
16088.81,14831.909
16088.82,14408.800
16088.83,14174.023
16088.84,13892.561
16088.85,13517.730
16088.86,13424.104
16088.87,13190.181
16088.88,13424.104
16088.89,16530.926
16088.9,16862.512
16088.91,16341.625
16088.92,16152.456
16088.93,15585.728
16088.94,15208.559
16088.95,14831.909
16088.96,14690.800
16088.97,14314.865
16088.98,13986.349
16088.99,13658.230
16089,13517.730
16089.01,13236.949
16089.02,13049.925
16089.03,12909.741
16089.04,12629.594
16089.05,12582.931
16089.06,12349.738
16089.07,12209.921
16089.08,12070.176
16089.09,11837.431
16089.1,11651.381
16089.11,11558.404
16089.12,11465.460
16089.13,11140.413
16089.14,11186.823
16089.15,14784.864
16089.16,15821.723
16089.17,15444.229
16089.18,15161.449
16089.19,14878.962
16089.2,14643.779
16089.21,14267.910
16089.22,14033.256
16089.23,13658.230
16089.24,13283.727
16089.25,13236.949
16089.26,13049.925
16089.27,12863.029
16089.28,12536.276
16089.29,12256.519
16089.3,12070.176
16089.31,11883.964
16089.32,11930.504
16089.33,11697.881
16089.34,11651.381
16089.35,11651.381
16089.36,11558.404
16089.37,11372.549
16089.38,11047.615
16089.39,15114.348
16089.4,15868.945
16089.41,15680.101
16089.42,15397.078
16089.43,15020.169
16089.44,14502.768
16089.45,14502.768
16089.46,14174.023
16089.47,13705.080
16089.48,13564.556
16089.49,13236.949
16089.5,12956.461
16089.51,12536.276
16089.52,12676.265
16089.53,12349.738
16089.54,12303.125
16089.55,12116.749
16089.56,11977.054
16089.57,11697.881
16089.58,11651.381
16089.59,11465.460
16089.6,11326.105
16089.61,11140.413
16089.62,11094.010
16089.63,10769.417
16089.64,10954.850
16089.65,12722.943
16089.66,15821.723
16089.67,15680.101
16089.68,15491.387
16089.69,15020.169
16089.7,14690.800
16089.71,14549.764
16089.72,14127.093
16089.73,13798.804
16089.74,13470.913
16089.75,13377.304
16089.76,13143.421
16089.77,12909.741
16089.78,15916.177
16089.79,16862.512
16089.8,16530.926
16089.81,16152.456
16089.82,15538.553
16089.83,15397.078
16089.84,15020.169
16089.85,14784.864
16089.86,14220.963
16089.87,14267.910
16089.88,13939.450
16089.89,13611.390
16089.9,13377.304
16089.91,13236.949
16089.92,13190.181
16089.93,12863.029
16089.94,12629.594
16089.95,12396.361
16089.96,12396.361
16089.97,11883.964
16089.98,11790.906
16089.99,11697.881
16090,11511.928
16090.01,11558.404
16090.02,11279.670
16090.03,11279.670
16090.04,14314.865
16090.05,15916.177
16090.06,15491.387
16090.07,15491.387
16090.08,15020.169
16090.09,14596.768
16090.1,14502.768
16090.11,14174.023
16090.12,13751.938
16090.13,13564.556
16090.14,13096.669
16090.15,13049.925
16090.16,12863.029
16090.17,12722.943
16090.18,12536.276
16090.19,12442.991
16090.2,12070.176
16090.21,12023.610
16090.22,11883.964
16090.23,11651.381
16090.24,11511.928
16090.25,11465.460
16090.26,11233.243
16090.27,11186.823
16090.28,11094.010
16090.29,13424.104
16090.3,15632.910
16090.31,15774.507
16090.32,15491.387
16090.33,15161.449
16090.34,14549.764
16090.35,14314.865
16090.36,14267.910
16090.37,13845.678
16090.38,13658.230
16090.39,13283.727
16090.4,13236.949
16090.41,12769.631
16090.42,14174.023
16090.43,16720.354
16090.44,16341.625
16090.45,16294.321
16090.46,15821.723
16090.47,15538.553
16090.48,15067.254
16090.49,14973.092
16090.5,14549.764
16090.51,14174.023
16090.52,13751.938
16090.53,13705.080
16090.54,13470.913
16090.55,13236.949
16090.56,12909.741
16090.57,12863.029
16090.58,12489.630
16090.59,12396.361
16090.6,12303.125
16090.61,12070.176
16090.62,11883.964
16090.63,11604.888
16090.64,11651.381
16090.65,11419.000
16090.66,15302.802
16090.67,15963.417
16090.68,15774.507
16090.69,15397.078
16090.7,14973.092
16090.71,14784.864
16090.72,14220.963
16090.73,13986.349
16090.74,13751.938
16090.75,13658.230
16090.76,13470.913
16090.77,13236.949
16090.78,12909.741
16090.79,12816.326
16090.8,12676.265
16090.81,12349.738
16090.82,12070.176
16090.83,12023.610
16090.84,11837.431
16090.85,11744.390
16090.86,11558.404
16090.87,11419.000
16090.88,11186.823
16090.89,10954.850
16090.9,12769.631
16090.91,15727.300
16090.92,15774.507
16090.93,15444.229
16090.94,15020.169
16090.95,14737.828
16090.96,14361.828
16090.97,14174.023
16090.98,13845.678
16090.99,13517.730
16091,13283.727
16091.01,13143.421
16091.02,12816.326
16091.03,12722.943
16091.04,12676.265
16091.05,12396.361
16091.06,12163.331
16091.07,11744.390
16091.08,11697.881
16091.09,11511.928
16091.1,11790.906
16091.11,11372.549
16091.12,11372.549
16091.13,11047.615
16091.14,10908.479
16091.15,12769.631
16091.16,15727.300
16091.17,15632.910
16091.18,15349.936
16091.19,15067.254
16091.2,14690.800
16091.21,14549.764
16091.22,14033.256
16091.23,13751.938
16091.24,13564.556
16091.25,13330.511
16091.26,13049.925
16091.27,12816.326
16091.28,12863.029
16091.29,16436.260
16091.3,16672.984
16091.31,16294.321
16091.32,15916.177
16091.33,15538.553
16091.34,15255.676
16091.35,14831.909
16091.36,14643.779
16091.37,14314.865
